0.287,0.288,0.181,0.093,0.287,0.555,0.277,0.316,0.001,0.016,0.115,0.242,0.415,0.347,0.841,3
0.459,0.551,0.459,0.164,0.466,0.323,0.514,0.505,0.019,0.145,0.305,0.473,0.288,0.288,0.804,2
0.459,0.492,0.407,0.127,0.458,0.422,0.474,0.381,0.0,0.004,0.113,0.214,0.358,0.134,0.88,2
0.44,0.44,0.457,0.095,0.441,0.295,0.442,0.413,0.0,0.011,0.079,0.157,0.429,0.211,0.923,1
0.466,0.475,0.382,0.106,0.466,0.467,0.464,0.444,0.011,0.069,0.164,0.264,0.4,0.231,0.869,3
0.589,0.544,0.544,0.055,0.589,0.338,0.558,0.63,0.052,0.177,0.156,0.236,0.454,0.305,0.938,1
0.408,0.373,0.369,0.062,0.408,0.415,0.384,0.365,0.011,0.092,0.087,0.156,0.502,0.135,0.897,2
0.711,0.589,0.413,0.082,0.711,0.684,0.61,0.565,0.069,0.172,0.041,0.072,0.648,0.172,0.985,1
0.375,0.373,0.413,0.072,0.376,0.248,0.378,0.328,0.0,0.003,0.102,0.211,0.388,0.176,0.862,2
0.567,0.607,0.609,0.111,0.567,0.249,0.595,0.498,0.165,0.13,0.094,0.168,0.462,0.174,0.938,1
0.397,0.41,0.462,0.065,0.397,0.209,0.411,0.386,0.004,0.04,0.095,0.201,0.384,0.13,0.899,2
0.526,0.584,0.664,0.11,0.527,0.101,0.574,0.466,0.02,0.221,0.074,0.123,0.538,0.149,0.943,1
0.545,0.56,0.518,0.107,0.545,0.366,0.552,0.457,0.041,0.213,0.039,0.073,0.594,0.18,0.967,1
0.563,0.503,0.513,0.061,0.563,0.514,0.523,0.551,0.073,0.28,0.183,0.259,0.368,0.164,0.901,3
0.383,0.396,0.317,0.117,0.383,0.505,0.385,0.311,0.0,0.008,0.094,0.175,0.485,0.166,0.861,2
0.284,0.239,0.086,0.099,0.284,0.788,0.239,0.251,0.0,0.01,0.262,0.423,0.323,0.332,0.584,3
0.057,0.032,0.02,0.026,0.057,0.447,0.039,0.108,0.0,0.0,0.076,0.143,0.699,0.562,0.672,3
0.561,0.52,0.486,0.076,0.561,0.419,0.53,0.53,0.037,0.162,0.124,0.225,0.365,0.205,0.929,2
0.501,0.46,0.388,0.09,0.501,0.533,0.466,0.455,0.023,0.102,0.148,0.217,0.527,0.116,0.886,2
0.441,0.348,0.338,0.048,0.441,0.558,0.376,0.497,0.026,0.114,0.132,0.223,0.445,0.285,0.914,2
0.664,0.641,0.677,0.084,0.664,0.291,0.652,0.485,0.046,0.339,0.07,0.137,0.508,0.148,0.951,1
0.429,0.379,0.427,0.065,0.429,0.337,0.399,0.344,0.0,0.001,0.028,0.09,0.505,0.196,0.947,1
0.545,0.61,0.592,0.141,0.551,0.248,0.588,0.602,0.094,0.109,0.251,0.398,0.269,0.239,0.882,3
0.332,0.252,0.259,0.024,0.332,0.38,0.278,0.353,0.0,0.005,0.044,0.105,0.612,0.458,0.934,2
0.813,0.66,0.55,0.07,0.813,0.609,0.697,0.729,0.159,0.111,0.217,0.293,0.384,0.236,0.934,3
0.45,0.473,0.397,0.107,0.45,0.397,0.459,0.445,0.017,0.111,0.072,0.12,0.597,0.306,0.94,1
0.598,0.5,0.417,0.065,0.598,0.553,0.523,0.529,0.055,0.215,0.104,0.112,0.699,0.256,0.941,1
0.377,0.434,0.343,0.14,0.378,0.432,0.408,0.377,0.01,0.084,0.126,0.262,0.309,0.181,0.867,3
0.369,0.383,0.226,0.116,0.369,0.624,0.364,0.389,0.008,0.047,0.11,0.204,0.432,0.273,0.888,3
0.551,0.59,0.429,0.149,0.551,0.517,0.563,0.48,0.039,0.145,0.184,0.348,0.233,0.157,0.871,2
0.702,0.713,0.572,0.132,0.702,0.469,0.696,0.583,0.153,0.104,0.091,0.114,0.62,0.16,0.96,1
0.527,0.46,0.497,0.047,0.527,0.365,0.485,0.438,0.019,0.122,0.071,0.14,0.496,0.166,0.937,2
0.257,0.252,0.163,0.074,0.257,0.504,0.245,0.337,0.0,0.005,0.166,0.296,0.467,0.441,0.802,3
0.578,0.539,0.573,0.089,0.578,0.388,0.555,0.634,0.064,0.206,0.23,0.345,0.321,0.187,0.903,3
0.237,0.192,0.138,0.072,0.237,0.685,0.201,0.181,0.0,0.001,0.088,0.178,0.422,0.142,0.755,3
0.511,0.593,0.525,0.152,0.514,0.289,0.561,0.595,0.041,0.207,0.3,0.432,0.234,0.215,0.854,3
0.558,0.51,0.466,0.067,0.558,0.424,0.521,0.554,0.024,0.164,0.085,0.097,0.696,0.27,0.958,1
0.419,0.483,0.324,0.15,0.422,0.514,0.448,0.431,0.011,0.112,0.244,0.417,0.239,0.25,0.8,3
0.606,0.474,0.402,0.058,0.606,0.674,0.508,0.594,0.162,0.145,0.292,0.419,0.25,0.187,0.858,3
